District,Year,SMI,VGI,WDI,Precipitation,GDD
DAKAR,2015,8.20675766592245,7.93674765740281,316.738351604841,442,8.20675766592245
DAKAR,2016,7.93814441425445,8.00005431110157,324.902356599271,313,7.93814441425445
DAKAR,2017,7.98656822563006,8.03800866670612,311.067779021784,256,7.98656822563006
DAKAR,2018,7.35173737621074,7.56741291843621,318.019770972704,188,7.35173737621074
DAKAR,2019,7.45392172966815,7.99398510164567,318.733748520762,274,7.45392172966815
DAKAR,2020,8.03306325582803,8.05297862896164,292.592706030958,384,8.03306325582803
DAKAR,2021,7.17918301508035,9.3990641248832,,410,7.17918301508035
DIOURBEL,2015,9.19436841950479,7.77796468223435,530.87214520342,581,9.19436841950479
DIOURBEL,2016,8.97520818395961,7.78268448476067,587.582287766466,462,8.97520818395961
DIOURBEL,2017,9.05102182373332,7.96282410664878,596.157612841246,452,9.05102182373332
DIOURBEL,2018,8.72526169102857,7.80789944530437,582.619666434604,401,8.72526169102857
DIOURBEL,2019,8.70403319469818,7.98712174990925,591.80731894199,408,8.70403319469818
DIOURBEL,2020,9.13547227771011,7.86796569889454,560.300322491097,596,9.13547227771011
DIOURBEL,2021,8.79890871991725,9.06786557556085,,482,8.79890871991725
FATICK,2015,9.10274670990126,7.78870725015404,357.321552440126,689,9.10274670990126
FATICK,2016,8.98579259009267,7.73421140264817,426.557048099059,573,8.98579259009267
FATICK,2017,9.06829971764862,7.8094185975522,427.577902105788,590,9.06829971764862
FATICK,2018,8.75529442972985,7.67630327273516,413.694081665014,496,8.75529442972985
FATICK,2019,8.81272971913767,7.78379902165582,423.899134993314,520,8.81272971913767
FATICK,2020,9.14065890616031,7.80007166891031,401.450445428891,744,9.14065890616031
FATICK,2021,8.87233804336453,8.9438775256989,,628,8.87233804336453
KAFFRINE,2015,9.50488983540719,7.56828893167677,482.372648236597,597,9.50488983540719
KAFFRINE,2016,9.38549765359214,7.5935354609096,549.286638765598,577,9.38549765359214
KAFFRINE,2017,9.46189465028305,7.6537944903297,529.122269947057,605,9.46189465028305
KAFFRINE,2018,9.17830122417304,7.37604917497607,486.402680384652,525,9.17830122417304
KAFFRINE,2019,9.23864338654223,7.64897483817937,509.435226297316,492,9.23864338654223
KAFFRINE,2020,9.49472841234501,7.59283440055014,488.179409214007,705,9.49472841234501
KAFFRINE,2021,9.28881121571474,8.6005741018867,,585,9.28881121571474
KAOLACK,2015,9.22682128221002,7.57119603019745,331.864400209452,700,9.22682128221002
KAOLACK,2016,9.11654415048496,7.62946138546512,450.017926027995,586,9.11654415048496
KAOLACK,2017,9.22751252686733,7.55658592452636,441.183751046362,649,9.22751252686733
KAOLACK,2018,8.89398903678115,7.46781775248154,416.418588258954,559,8.89398903678115
KAOLACK,2019,8.96583415294047,7.53160299513625,424.531582314952,560,8.96583415294047
KAOLACK,2020,9.24167065077537,7.58748556831504,406.524506343161,757,9.24167065077537
KAOLACK,2021,9.07430167783514,8.6900480341009,,619,9.07430167783514
KEDOUGOU,2015,9.50999387844622,8.23216211199703,384.621164881483,1426,9.50999387844622
KEDOUGOU,2016,9.53322959360069,7.84623792249564,403.890126046435,1073,9.53322959360069
KEDOUGOU,2017,9.56973061385899,7.59500088429886,392.020638059744,1116,9.56973061385899
KEDOUGOU,2018,9.38430075090735,7.30519118468439,379.626588227283,1102,9.38430075090735
KEDOUGOU,2019,9.61630971511178,7.2711313440111,395.85350208639,1117,9.61630971511178
KEDOUGOU,2020,9.55576684115248,7.55924638881747,389.491270620057,1148,9.55576684115248
KEDOUGOU,2021,9.62369995448989,6.33689541565332,446.120865725767,1114,9.62369995448989
KOLDA,2015,9.4194684033819,8.15897889066577,451.948061712953,1036,9.4194684033819
