District,Year,Less -3 ET_Size Age,Less -2 ET_Size Age,Avg RCS (ET)_Size Age,Less -3 ET_Weight Height,Less -2 ET_Weight Height,Less +2 ET_Weight Height,Avg RCS (ET)_Weight Height,Less -3 ET_Weight Age,Less -2 ET_Weight Age,Less  +2 ET_Weight Age,Avg RCS (ET)_Weight Age,Neonatal mortality,Post-neonatal mortality,Child mortality,Juvenile mortality,Child-juvenile mortality 
DAKAR,2015,3,15.6,-0.8,1.2,5.6,1.7,-0.3,2.3,9.3,0.4,-0.7,1.7,1.3,3,1.3,4.2
DAKAR,2016,2.5,11.2,-0.5,1.2,4.7,1.9,-0.2,1.3,7.8,0.9,-0.5,1.8,1.3,3.1,1.1,4.2
DAKAR,2017,1.1,7,-0.4,0.5,4.9,1.2,-0.4,0.3,6.5,1,-0.5,2.2,0.6,2.7,0.7,3.4
DAKAR,2018,2.8,12.5,-0.6,1.1,6.3,1.9,-0.5,2.5,10.2,2.2,-0.6,1.9,1.4,3.2,0.7,3.9
DAKAR,2019,3.2,12.9,-0.8,0.6,5.1,5.2,-0.2,1.1,9,1.3,-0.6,1.9,0.7,2.6,0.5,3.1
DAKAR,2020,,,,,,,,,,,,,,,,
DAKAR,2021,,,,,,,,,,,,,,,,
DIOURBEL,2015,6.4,22.9,-1.1,1,7.4,0.6,-0.6,3,16.7,0.4,-1,3.1,1.6,4.8,3.5,8.1
DIOURBEL,2016,5.3,21.1,-1,1.4,9.1,0.7,-0.6,3.5,17.1,0.2,-1,3.5,2.1,5.6,2.6,8.1
DIOURBEL,2017,3.8,14.8,-0.8,2,8.7,1,-0.7,2.6,13.7,0.6,-0.9,3.1,2.1,5.2,2.2,7.3
DIOURBEL,2018,5.5,22.6,-1.1,0.9,6.9,1.3,-0.5,2.5,16,0.5,-1,2.8,1.3,4.1,2.2,6.2
DIOURBEL,2019,5.7,19.6,-1,0.7,7.2,1.3,-0.6,3.1,14.9,0.4,-1,2.6,1.1,3.7,1.2,4.8
DIOURBEL,2020,,,,,,,,,,,,,,,,
DIOURBEL,2021,,,,,,,,,,,,,,,,
FATICK,2015,6.4,22.9,-1.1,1,7.4,0.6,-0.6,3,16.7,0.4,-1,3.1,1.6,4.8,3.5,8.1
FATICK,2016,6.5,19,-1.1,0.8,5.9,0.4,-0.5,2.4,14.3,0.4,-0.9,2.5,1.2,3.8,2.4,6.1
FATICK,2017,2.6,13.6,-0.7,2.4,12.6,0.3,-0.8,2.8,16.1,0.7,-1,2.7,0.6,3.3,1.9,5.1
FATICK,2018,5.5,22.6,-1.1,0.9,6.9,1.3,-0.5,2.5,16,0.5,-1,2.8,1.3,4.1,2.2,6.2
FATICK,2019,5.7,19.6,-1,0.7,7.2,1.3,-0.6,3.1,14.9,0.4,-1,2.6,1.1,3.7,1.2,4.8
FATICK,2020,,,,,,,,,,,,,,,,
FATICK,2021,,,,,,,,,,,,,,,,
KAFFRINE,2015,6.4,22.9,-1.1,1,7.4,0.6,-0.6,3,16.7,0.4,-1,3.1,1.6,4.8,3.5,8.1
KAFFRINE,2016,7.5,23.6,-1.1,1.2,7.8,0.7,-0.6,3.3,17.7,0.3,-1.1,1.5,1.6,3.1,4.4,7.4
KAFFRINE,2017,9.3,25.8,-1.1,2.5,10.6,1,-0.7,4.7,17.7,0.2,-1.1,2.9,1.8,4.7,1.8,6.4
KAFFRINE,2018,5.5,22.6,-1.1,0.9,6.9,1.3,-0.5,2.5,16,0.5,-1,2.8,1.3,4.1,2.2,6.2
