,District,Year,Peanut,Cowpea,Cassava,Millet,Maize,Sorghum,Rice
1,DAKAR,2016,257.051016851396,365.611397754655,5708.02454633108,,842,192.5,
2,DAKAR,2017,1884,61,2599,4,630,170,
3,DAKAR,2018,56,,2859,,105,,
4,Dakar,2019,56,68,2859,,105,,
5,Dakar,2020,456,177,3649,,165,,
6,Dakar,2021,742,110,3701,,534,,
7,DIOURBEL,2016,16193.5067266171,3615.18132570823,7829.48947915322,27468.5991986162,304.902245116712,2986.36183822923,
8,DIOURBEL,2017,17715.6666666667,3050.66666666667,6267,28895.6666666667,265.666666666667,3161,
9,DIOURBEL,2018,21122.6666666667,,28625,26345.6666666667,292,3917.33333333333,
10,Diourbel,2019,57378,14438,85875,77973,876,11752,
11,Diourbel,2020,77935,23005,114591,111231,880,19269,
12,Diourbel,2021,54125,17842,95110,85354,712,10227,
13,FATICK,2016,48021.6666666667,6098.33333333333,8197.66666666667,34420.6666666667,13991,3690.33333333333,6862
14,FATICK,2017,76718,1097.66666666667,9808.33333333333,63229.6666666667,13835.6666666667,3045.33333333333,4299.33333333333
15,FATICK,2018,76049.6666666667,,13309.3333333333,58161,14357.6666666667,3403.33333333333,
16,Fatick,2019,228149,4441,39928,174483,43074,10211,7400
17,Fatick,2020,241066,20818,47759,277039,96967,24370,17191
18,Fatick,2021,235009,21014,51823,189593,58624,13327,13585
19,KAFFRINE,2016,45444.25,122.75,867,17192,7033.25,6388.5,35.5
20,KAFFRINE,2017,53898,161.25,1215.33333333333,34475,11688.5,15624.75,200
21,KAFFRINE,2018,68142.5,,727.25,51085,16021,19604.5,
22,Kaffrine,2019,272570,1399,2909,204340,64084,78419,289
23,Kaffrine,2020,320404,2687,6506,229912,70153,96237,562
24,Kaffrine,2021,341096,3260,6806,217546,81217,99607,259
25,KAOLACK,2016,40488,568,19291,49759.6666666667,15924.6666666667,5350.66666666667,1139.83333333333
26,KAOLACK,2017,63715.3333333333,195.333333333333,23254.3333333333,52634,23320.6666666667,3085.33333333333,1426.33333333333
27,KAOLACK,2018,45745.6666666667,,10251.6666666667,44333.3333333333,16927,5608,
28,Kaolack,2019,223001,1541,95440,167275,76912,12777,3325
29,Kaolack,2020,295037,2517,130403,170355,96943,39733,3042
30,Kaolack,2021,201310,2136,114306,161352,127948,21946,616
31,KEDOUGOU,2016,9432,,,,2811.66666666667,1070.33333333333,4331.66666666667
32,KEDOUGOU,2017,4512.33333333333,196,,,8981,4615,7706.33333333333
33,KEDOUGOU,2018,6840.66666666667,,,,10407.6666666667,4126,
34,Kedougou,2019,20522,239,,8239,69512,17998,93544
35,Kedougou,2020,14007,550,9185,,45521,14117,38279
36,Kedougou,2021,23214,328,1205,305,51295,11315,17830
37,KOLDA,2016,25599.3333333333,370.666666666667,3457,11222.6666666667,9636.66666666667,8989,39280.3333333333
38,KOLDA,2017,37762.3333333333,213,3592,9264.33333333333,23816.6666666667,11435.3333333333,86022
39,KOLDA,2018,75218,,2196.33333333333,15910.6666666667,31894.6666666667,12530,
40,Kolda,2019,225654,1012,6590,44167,47350,16182,127972
41,Kolda,2020,308742,1853,15074,82633,182702,56463,357690
42,Kolda,2021,308925,1929,16142,71044,169517,61809,376078
43,LOUGA,2016,36316.6666666667,14870.3333333333,15356.5,13935.3333333333,1066.5,1490.66666666667,
44,LOUGA,2017,59389,22396.3333333333,24229,26492.3333333333,1544,457.333333333333,228
45,LOUGA,2018,34855.6666666667,,25510,12742.3333333333,1129,268,
46,Louga,2019,61272,95377,76530,26945,3387,804,
47,Louga,2020,108974,162287,88027,45637,3773,2030,
48,Louga,2021,114683,129193,92471,44470,3307,1252,
49,MATAM,2016,309,133.666666666667,,3270,602.666666666667,573.333333333333,44265
50,MATAM,2017,289,1926.66666666667,,3174,1534,1110.66666666667,52242
