Region,Year,Electricity,Time to get to water,Wealth factor
Dakar,2015,12.17250852,80.42614041,4.47716117
Dakar,2016,10.56656781,,4.475441396
Dakar,2017,11.69005545,95.96548808,4.561065601
Dakar,2018,11.57317002,96.25268386,4.55195598
Dakar,2019,11.55469732,95.0827583,4.413748472
Diourbel,2015,8.557465195,61.86398715,3.278852276
Diourbel,2016,9.189511922,,3.477725557
Diourbel,2017,10.17281199,67.48544534,3.144442036
Diourbel,2018,8.780044721,52.70141845,2.93148671
Diourbel,2019,8.677248755,53.69036148,3.189588204
Fatick,2015,6.664333532,30.50306661,2.195079847
Fatick,2016,6.339151202,,2.275817177
Fatick,2017,9.1116945,47.88704353,2.582346969
Fatick,2018,8.298031335,45.17637617,2.435884109
Fatick,2019,8.044202611,49.60593367,2.539800807
Kaffrine,2015,4.214534183,49.63187766,1.683446887
Kaffrine,2016,9.02907048,,1.763958953
Kaffrine,2017,4.887851734,60.12311555,1.634820155
Kaffrine,2018,5.040189638,79.45312912,1.741482376
Kaffrine,2019,6.941032886,69.08264529,1.882983762
Kaolack,2015,8.093122093,56.67471941,2.566452845
Kaolack,2016,7.596487631,,2.504694416
Kaolack,2017,7.297964775,64.44983121,2.732068818
Kaolack,2018,11.02311272,74.38711151,2.90933105
Kaolack,2019,9.507996051,76.15869529,2.839967633
Kedougou,2015,7.398440755,27.68127674,2.089821123
Kedougou,2016,6.185017709,,1.940607099
Kedougou,2017,6.663457835,27.29694618,1.981561223
Kedougou,2018,4.577982089,46.17074167,1.656548305
Kedougou,2019,7.011708245,36.22119765,2.210067112
Kolda,2015,4.132659197,48.69497146,1.768777879
Kolda,2016,3.566586033,,1.660004681
Kolda,2017,3.918743753,38.2449135,1.698619395
Kolda,2018,3.702475265,59.33406909,1.586886346
Kolda,2019,4.837057686,55.7898553,1.802257475
Louga,2015,5.600771449,59.97946171,2.688560399
Louga,2016,7.595712507,,2.621614976
Louga,2017,8.397469623,79.02969744,2.618239072
Louga,2018,7.919853825,77.26077438,2.679624912
Louga,2019,8.790903733,74.82859373,2.939766673
Matam,2015,6.475544523,65.53884655,2.474931708
Matam,2016,6.703761055,,2.505708118
Matam,2017,7.405376911,71.17063105,2.434837189
Matam,2018,8.404052683,64.5252295,2.387357582
Matam,2019,8.38588154,79.08255825,2.475584378
Saint-Louis,2015,7.513238742,73.13303508,2.855993641
Saint-Louis,2016,8.519074973,,2.792192581
Saint-Louis,2017,9.120888464,74.27846092,2.960426312
Saint-Louis,2018,10.1164103,84.01054758,3.000907986
Saint-Louis,2019,8.036605568,64.37988595,2.976748536
Sedhiou,2015,5.031424896,34.81109642,2.186143294
Sedhiou,2016,5.657466316,,1.90907415
Sedhiou,2017,4.912415423,40.69965731,1.88360871
Sedhiou,2018,6.608858028,42.3107081,1.916705072
Sedhiou,2019,4.895278402,33.53243743,1.782836628
Tambacounda,2015,8.417126167,31.82652668,1.820059199
Tambacounda,2016,8.392025938,,1.950375193
Tambacounda,2017,6.360758123,52.58270145,2.046296829
Tambacounda,2018,6.573120479,51.93464613,2.080922552
Tambacounda,2019,9.456670692,65.95904002,2.55593991
Thiès,2015,11.05940932,73.7616069,3.478867845
Thiès,2016,10.77701309,,3.451078416
Thiès,2017,10.52267996,78.69194992,3.328271276
Thiès,2018,11.69252892,89.23349419,3.482948941
Thiès,2019,10.51042375,77.03601448,3.514025982
Ziguinchor,2015,9.537271615,39.46111501,2.840854468
Ziguinchor,2016,8.580077182,,2.923412069
Ziguinchor,2017,9.296347797,56.83683794,2.739028898
Ziguinchor,2018,9.039338303,56.84162908,2.730090954
Ziguinchor,2019,10.7967966,69.84991663,2.650113056
