District,Year,Electricity,Time to get water,Wealth factor,HH heads w/o formal education,Literacy rt of hh heads,Female head of hh,FEI,Avg hh size
DAKAR,2015,12.1725,80.4261,4.4772,,,,,
DAKAR,2016,10.5666,,4.4754,,,,,
DAKAR,2017,11.6901,95.9655,4.5611,54.4,46.4,,0.05,4.904
DAKAR,2018,11.5732,96.2527,4.552,51.5,49.7,13.7045,0.3323,5.3632
DAKAR,2019,11.5547,95.0828,4.4137,45.83,56.71,27.3736,0.0195,7.1742
DAKAR,2020,,,,38.64,69.12,32.1531,0.1726,9.765
DAKAR,2021,,,,,,,,
DIOURBEL,2015,8.5575,61.864,3.2789,,,,,
DIOURBEL,2016,9.1895,,3.4777,,,,,
DIOURBEL,2017,10.1728,67.4854,3.1444,91.4152,16.2742,17.8012,0.956,9.5195
DIOURBEL,2018,8.78,52.7014,2.9315,94.61,13.16,10.8646,1.7956,10.4074
DIOURBEL,2019,8.6772,53.6904,3.1896,89.36,13.07,23.2309,0.5098,9.5744
DIOURBEL,2020,,,,87.86,16.48,9.4691,0.3972,9.9239
DIOURBEL,2021,,,,,,,,
FATICK,2015,6.6643,30.5031,2.1951,,,,,
FATICK,2016,6.3392,,2.2758,,,,,
FATICK,2017,9.1117,47.887,2.5823,74.8111,28.511,10.6487,0.8855,7.9742
FATICK,2018,8.298,45.1764,2.4359,76.72,33.8,10.6697,0.3696,9.0339
FATICK,2019,8.0442,49.6059,2.5398,66.99,39.4,6.4397,1.364,9.5269
FATICK,2020,,,,47.45,54.67,10.0986,0.124,8.0742
FATICK,2021,,,,,,,,
KAFFRINE,2015,4.2145,49.6319,1.6834,,,,,
KAFFRINE,2016,9.0291,,1.764,,,,,
KAFFRINE,2017,4.8879,60.1231,1.6348,71.6066,31.8471,9.3105,0.216,9.0376
KAFFRINE,2018,5.0402,79.4531,1.7415,83.62,25.15,5.5302,0.9636,10.93
KAFFRINE,2019,6.941,69.0826,1.883,83.32,24.04,15.1431,0.1114,7.4058
KAFFRINE,2020,,,,81.05,44.6,3.1984,0.2954,10.8813
KAFFRINE,2021,,,,,,,,
KAOLACK,2015,8.0931,56.6747,2.5665,,,,,
KAOLACK,2016,7.5965,,2.5047,,,,,
KAOLACK,2017,7.298,64.4498,2.7321,74.7772,33.0227,6.0807,0.723,9.9692
KAOLACK,2018,11.0231,74.3871,2.9093,71.75,34.44,5.3758,0.4958,11.3625
KAOLACK,2019,9.508,76.1587,2.84,65.79,49.98,3.9265,0.1822,10.0801
KAOLACK,2020,,,,67.74,54.01,10.2871,0.204,10.9128
KAOLACK,2021,,,,,,,,
KEDOUGOU,2015,7.3984,27.6813,2.0898,,,,,
KEDOUGOU,2016,6.185,,1.9406,,,,,
KEDOUGOU,2017,6.6635,27.2969,1.9816,77.3047,38.5928,3.2135,0.8512,5.7109
KEDOUGOU,2018,4.578,46.1707,1.6565,67.22,41.18,10.306,0.57,7.3946
KEDOUGOU,2019,7.0117,36.2212,2.2101,70.17,36.6,11.4959,0.3376,9.6937
KEDOUGOU,2020,,,,71.07,40.78,15.2002,0.4468,7.7089
KEDOUGOU,2021,,,,,,,,
KOLDA,2015,4.1327,48.695,1.7688,,,,,
KOLDA,2016,3.5666,,1.66,,,,,
KOLDA,2017,3.9187,38.2449,1.6986,88.2778,25.4734,12.5985,0.6347,12.2672
