District,Year,Peanut (tons),Cowpea (tons),Cassava (tons),Millet (tons),Maize (tons),Sorghum (tons),Rice (tons),Sheeps (number of heads),Chickens (number of heads),Assins (number of heads),Cows (number of heads),Goats (number of heads),Lower quintiles HH (%),Upper quintiles HH (%),Gini coefficient,Price_imported Maize (FCFA/kg),Price_imported PB rice (FCFA/kg),Price_imported FB rice (FCFA/kg),Price_local Peanut Kernels (FCFA/kg),Price_local uns. peanut (FCFA/kg),Price_local Maize (FCFA/kg),Price_local Millet (FCFA/kg),Price_local Cowpea (FCFA/kg),Price_local Sorghum (FCFA/kg),Producer price_H. rice (FCFA/kg),Producer price_uns. Peanut (FCFA/kg),Producer price_Millet (FCFA/kg),Producer price_Sorghum (FCFA/kg),Producer price s. peanut (FCFA/kg),Producer price_Maize (FCFA/kg),Producer price_Cowpea (FCFA/kg),Less -3 ET_Size Age (%),Less -2 ET_Size Age (%),Avg RCS (ET)_Size Age (%),Less -3 ET_Weight Height (%),Less -2 ET_Weight Height (%),Less +2 ET_Weight Height (%),Avg RCS (ET)_Weight Height,Less -3 ET_Weight Age (%),Less -2 ET_Weight Age (%),Less  +2 ET_Weight Age (%),Avg RCS (ET)_Weight Age,Neonatal mortality (%),Post-neonatal mortality (%),Child mortality (%),Juvenile mortality (%),Child-juvenile mortality (%),Electricity (%),Time to get water (min),Wealth factor (%),HH heads w/o formal education (%),Literacy rt of hh heads (%),Female head of hh (%),FEI (%),Insecticide use (%),Irrigation use (%),Husbandry (%),Avg hh size (units),Fertilizer Use (%),Herbicide use (%),SMI,VGI,WDI,Precipitation
DAKAR,2015,,,,,,,,,,,,,2.5,43.2,0.2,,,,,,,,,,,,,,,,,3,15.6,-0.8,1.2,5.6,1.7,-0.3,2.3,9.3,0.4,-0.7,1.7,1.3,3,1.3,4.2,12.1725,80.4261,4.4772,,,,,,,,,,,8.206757666,7.936747657,316.7383516,442
DAKAR,2016,257.051,365.6114,5708.0245,,842,192.5,,,,,,,0,55.8,0.8,227.9421,278.0903,349.0278,600.1975,330.8009,232.1923,233.261,435.0692,238.4838,348.6091,,,,,,,2.5,11.2,-0.5,1.2,4.7,1.9,-0.2,1.3,7.8,0.9,-0.5,1.8,1.3,3.1,1.1,4.2,10.5666,,4.4754,,,,,,,,,,,7.938144414,8.000054311,324.9023566,313
DAKAR,2017,1884,61,2599,4,630,170,,2588.88,,,,,0,57.6,0.09,226.6025,286.2412,351.9227,626.9218,273.0642,237.0251,247.2689,413.4612,259.0865,347.0907,,,,,,,1.1,7,-0.4,0.5,4.9,1.2,-0.4,0.3,6.5,1,-0.5,2.2,0.6,2.7,0.7,3.4,11.6901,95.9655,4.5611,54.4,46.4,,0.05,8,8,36,4.904,,,7.986568226,8.038008667,311.067779,256
DAKAR,2018,56,,2859,,105,,,3556.1944,,,,,1.9,45.9,0.38,226.5506,288.4413,358.138,567.494,356.5538,229.2397,245.5384,567.0194,260.6491,343.8141,,,,,,,2.8,12.5,-0.6,1.1,6.3,1.9,-0.5,2.5,10.2,2.2,-0.6,1.9,1.4,3.2,0.7,3.9,11.5732,96.2527,4.552,51.5,49.7,13.7045,0.3323,,,35.9341,5.3632,,,7.351737376,7.567412918,318.019771,188
DAKAR,2019,56,68,2859,,105,,,301655.4113,1385058.441,,,,4.3,39.5,0.34,218.4352,296.1549,348.724,576.3672,380.2579,215.2331,249.2088,760.0911,218.7759,342.2656,,,,,,,3.2,12.9,-0.8,0.6,5.1,5.2,-0.2,1.1,9,1.3,-0.6,1.9,0.7,2.6,0.5,3.1,11.5547,95.0828,4.4137,45.83,56.71,27.3736,0.0195,,26.8045,97.2277,7.1742,,,7.45392173,7.993985102,318.7337485,274
DAKAR,2020,456,177,3649,,165,,,,,,,,,,,208.3491,301.8378,348.1956,627.1875,458.9383,201.1766,276.3912,518.2176,213.3702,346.9271,,,,,,,,,,,,,,,,,,,,,,,,,,38.64,69.12,32.1531,0.1726,16.6485,,65.4199,9.765,24.0801,,8.033063256,8.052978629,292.592706,384
DAKAR,2021,742,110,3701,,534,,,,,,,,,,,216.1869,301.669,354.1253,682.702,504.7458,203.0665,276.0998,460.5156,210.7106,349.9653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.179183015,9.399064125,,410
DIOURBEL,2015,,,,,,,,,,,,,27.8,9.4,0.36,,,,,,,,,,,,,,,,,6.4,22.9,-1.1,1,7.4,0.6,-0.6,3,16.7,0.4,-1,3.1,1.6,4.8,3.5,8.1,8.5575,61.864,3.2789,,,,,,,,,,,9.19436842,7.777964682,530.8721452,581
DIOURBEL,2016,16193.5067,3615.1813,7829.4895,27468.5992,304.9022,2986.3618,,143135.7138,123023.6016,19394.0855,54309.8276,107722.2419,12.7,16,2.4,215.276,266.1447,371.3315,582.6742,327.1082,193.068,189.1013,318.3507,210.7465,268.5532,299,208.3333,175,,,,5.3,21.1,-1,1.4,9.1,0.7,-0.6,3.5,17.1,0.2,-1,3.5,2.1,5.6,2.6,8.1,9.1895,,3.4777,,,,,,,,,,,8.975208184,7.782684485,587.5822878,462
DIOURBEL,2017,17715.6667,3050.6667,6267,28895.6667,265.6667,3161,,310777.2517,205228.6802,26757.4946,169679.8704,158660.806,16.8,12.1,0.31,213.723,273.7897,378.5634,568.9882,285.4342,201.5706,220.0315,297.3853,236.5957,268.6105,299,208.3333,175,,,,3.8,14.8,-0.8,2,8.7,1,-0.7,2.6,13.7,0.6,-0.9,3.1,2.1,5.2,2.2,7.3,10.1728,67.4854,3.1444,91.4152,16.2742,17.8012,0.956,3.8626,,77.1873,9.5195,95.1729,,9.051021824,7.962824107,596.1576128,452
