,District,Year,Percentage of Lower quintiles households,Percentage of Upper quintiles households,Gini coefficient
1,Dakar,2015,2.5,43.2,0.025
2,Dakar,2016,0,55.8,0
3,Dakar,2017,0,57.6,0.09
4,Dakar,2018,1.9,45.9,0.38
5,Dakar,2019,4.3,39.5,0.043
6,Diourbel,2015,27.8,9.4,0.278
7,Diourbel,2016,12.7,16,1.27
8,Diourbel,2017,16.8,12.1,0.31
9,Diourbel,2018,25.7,7.5,0.27
10,Diourbel,2019,20.1,9.6,0.201
11,Fatick,2015,27.8,9.4,0.278
12,Fatick,2016,32.1,2.6,3.21
13,Fatick,2017,22,4.8,0.39
14,Fatick,2018,25.7,7.5,0.27
15,Fatick,2019,20.1,9.6,0.201
16,Kaffrine,2015,27.8,9.4,0.278
17,Kaffrine,2016,57.7,1.5,5.77
18,Kaffrine,2017,62.7,0.8,0.42
19,Kaffrine,2018,25.7,7.5,0.27
20,Kaffrine,2019,20.1,9.6,0.201
21,Kaolack,2015,27.8,9.4,0.278
22,Kaolack,2016,29.1,8.1,2.91
23,Kaolack,2017,21.7,10.1,0.44
24,Kaolack,2018,25.7,7.5,0.27
25,Kaolack,2019,20.1,9.6,0.201
26,Kédougou,2015,40.6,3.3,0.406
27,Kédougou,2016,36.1,1.9,3.61
28,Kédougou,2017,43.9,1.7,0.39
29,Kédougou,2018,45.2,2.2,0.29
30,Kédougou,2019,45.5,6.3,0.455
31,Kolda,2015,40.6,3.3,0.406
32,Kolda,2016,59.7,2.1,5.97
33,Kolda,2017,66.5,1.7,0.55
34,Kolda,2018,45.2,2.2,0.29
35,Kolda,2019,45.5,6.3,0.455
36,Louga,2015,20.1,8.9,0.201
37,Louga,2016,29.2,10.4,2.92
38,Louga,2017,22.8,6.8,0.33
39,Louga,2018,23.1,6.1,0.1
40,Louga,2019,26.1,12.1,0.261
41,Matam,2015,20.1,8.9,0.201
42,Matam,2016,20.4,2.4,2.04
43,Matam,2017,25.8,1,0.31
44,Matam,2018,23.1,6.1,0.1
45,Matam,2019,26.1,12.1,0.261
46,Saint Louis,2015,20.1,8.9,0.201
47,Saint Louis,2016,19.7,9.7,1.97
48,Saint Louis,2017,20,9.5,0.32
49,Saint-Louis,2018,23.1,6.1,0.1
50,Saint-Louis,2019,26.1,12.1,0.261
51,Sédhiou,2015,40.6,3.3,0.406
52,Sédhiou,2016,34.8,1.2,3.48
53,Sédhiou,2017,43,0.6,0.39
54,Sédhiou,2018,45.2,2.2,0.29
55,Sédhiou,2019,45.5,6.3,0.455
56,Tambacounda,2015,40.6,3.3,0.406
57,Tambacounda,2016,59.8,2.7,5.98
58,Tambacounda,2017,48.9,3.2,0.48
59,Tambacounda,2018,45.2,2.2,0.29
60,Tambacounda,2019,45.5,6.3,0.455
61,Thiès,2015,2.5,43.2,0.025
62,Thiès,2016,5.1,17.3,0.51
63,Thiès,2017,6.4,15.9,0.31
64,Thiès,2018,1.9,45.9,0.38
65,Thiès,2019,4.3,39.5,0.043
66,Ziguinchor,2015,40.6,3.3,0.406
67,Ziguinchor,2016,6.5,5.3,0.65
68,Ziguinchor,2017,12.7,6.2,0.35
69,Ziguinchor,2018,45.2,2.2,0.29
70,Ziguinchor,2019,45.5,6.3,0.455
