District,Year,Household heads without formal education (%),Literacy rate of household heads (%)
DAKAR,2017,54.4000015258789,46.3999977111816
DAKAR,2018,51.5,49.7000007629395
DAKAR,2019,45.8300018310547,56.7099990844727
DAKAR,2020,38.6399993896484,69.120002746582
DIOURBEL,2017,91.4152450561524,16.2741832733154
DIOURBEL,2018,94.6100006103516,13.1599998474121
DIOURBEL,2019,89.3600006103516,13.0699996948242
DIOURBEL,2020,87.8600006103516,16.4799995422363
FATICK,2017,74.8111114501953,28.5109844207764
FATICK,2018,76.7200012207031,33.7999992370605
FATICK,2019,66.9899978637695,39.4000015258789
FATICK,2020,47.4500007629395,54.6699981689453
KAFFRINE,2017,71.606575012207,31.8471164703369
KAFFRINE,2018,83.620002746582,25.1499996185303
KAFFRINE,2019,83.3199996948242,24.0400009155273
KAFFRINE,2020,81.0500030517578,44.5999984741211
KAOLACK,2017,74.7771530151367,33.0226898193359
KAOLACK,2018,71.75,34.439998626709
KAOLACK,2019,65.7900009155273,49.9799995422363
KAOLACK,2020,67.7399978637695,54.0099983215332
KEDOUGOU,2017,77.3047485351563,38.5928344726563
KEDOUGOU,2018,67.2200012207031,41.1800003051758
KEDOUGOU,2019,70.1699981689453,36.5999984741211
KEDOUGOU,2020,71.0699996948242,40.7799987792969
KOLDA,2017,88.27783203125,25.4733600616455
KOLDA,2018,86.9100036621094,17.6100006103516
KOLDA,2019,76.9800033569336,26.7399997711182
KOLDA,2020,72.879997253418,34.439998626709
LOUGA,2017,75.0949859619141,33.4346504211426
LOUGA,2018,80.370002746582,26.4899997711182
LOUGA,2019,79.1900024414063,27.4699993133545
LOUGA,2020,80.5299987792969,31.1200008392334
MATAM,2017,95.3868179321289,
MATAM,2018,96.0199966430664,8.0600004196167
MATAM,2019,94.0999984741211,21.3799991607666
MATAM,2020,86.0899963378906,20.7800006866455
SAINT LOUIS,2017,85.5625610351563,29.3572044372559
SAINT LOUIS,2018,88.4700012207031,20.0100002288818
SAINT LOUIS,2019,74.4800033569336,28.6499996185303
SAINT LOUIS,2020,60.1399993896484,56.7999992370605
SEDHIOU,2017,71.5071105957031,33.7450523376465
SEDHIOU,2018,69.4000015258789,41.6500015258789
SEDHIOU,2019,70.9899978637695,29.8600006103516
SEDHIOU,2020,72.7900009155273,41.4300003051758
TAMBACOUNDA,2017,91.3793487548828,13.9889497756958
TAMBACOUNDA,2018,91.6900024414062,12.9899997711182
TAMBACOUNDA,2019,87.5999984741211,18.0499992370605
TAMBACOUNDA,2020,90.0400009155273,20
THIES,2017,81.9963836669922,26.7402267456055
THIES,2018,82.8399963378906,22.0699996948242
THIES,2019,72.7699966430664,28.9500007629395
THIES,2020,65.7699966430664,44.5200004577637
ZIGUINCHOR,2017,39.8626556396484,62.3610191345215
ZIGUINCHOR,2018,46.4199981689453,55.9700012207031
ZIGUINCHOR,2019,53.810001373291,50.6399993896484
ZIGUINCHOR,2020,46.060001373291,56.2999992370605
